NMI,ARI,ACC,HOM,COM,PUR
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
0.77323854,0.66593885,0.75,0.6303088,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
0.77323854,0.66593885,0.75,0.6303088,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
0.77323854,0.66593885,0.75,0.6303088,1.0,1.0
0.77323854,0.66593885,0.75,0.6303088,1.0,1.0
0.77323854,0.66593885,0.75,0.6303088,1.0,1.0
0.77323854,0.66593885,0.75,0.6303088,1.0,1.0
0.77323854,0.66593885,0.75,0.6303088,1.0,1.0
0.77323854,0.66593885,0.75,0.6303088,1.0,1.0
0.77323854,0.66593885,0.75,0.6303088,1.0,1.0
0.77323854,0.66593885,0.75,0.6303088,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
0.96487087,0.97850114,0.9916667,0.96583563,0.963908,0.9916667
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
0.77323854,0.66593885,0.75,0.6303088,1.0,1.0
0.77323854,0.66593885,0.75,0.6303088,1.0,1.0
0.77323854,0.66593885,0.75,0.6303088,1.0,1.0
0.77323854,0.66593885,0.75,0.6303088,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
0.77323854,0.66593885,0.75,0.6303088,1.0,1.0
0.77323854,0.66593885,0.75,0.6303088,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
0.77323854,0.66593885,0.75,0.6303088,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
0.77323854,0.66593885,0.75,0.6303088,1.0,1.0
0.77323854,0.66593885,0.75,0.6303088,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
0.77323854,0.66593885,0.75,0.6303088,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
0.77323854,0.66593885,0.75,0.6303088,1.0,1.0
0.77323854,0.66593885,0.75,0.6303088,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
0.77323854,0.66593885,0.75,0.6303088,1.0,1.0
0.77323854,0.66593885,0.75,0.6303088,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
0.77323854,0.66593885,0.75,0.6303088,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
