NMI,ARI,ACC,HOM,COM,PUR
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
0.9754447,0.9777779,0.9930556,0.97566944,0.97522,0.9930556
1.0,1.0,1.0,1.0,1.0,1.0
0.9767833,0.9820338,0.9930556,0.9782865,0.9752847,0.9930556
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
0.97658277,0.98210764,0.9930556,0.97566944,0.9774979,0.9930556
0.9070314,0.92932755,0.9722222,0.9070314,0.9070314,0.9722222
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
0.97658277,0.98210764,0.9930556,0.97566944,0.9774979,0.9930556
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
0.96653664,0.96796465,0.8263889,1.0,0.9352403,0.9652778
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
0.9767561,0.9821293,0.9930556,0.9750996,0.97841823,0.9930556
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
0.9606062,0.96486807,0.9861111,0.9571942,0.96404266,0.9861111
1.0,1.0,1.0,1.0,1.0,1.0
0.9767561,0.9821293,0.9930556,0.9750996,0.97841823,0.9930556
0.9602596,0.96478325,0.9861111,0.9583214,0.9622057,0.9861111
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
0.975437,0.9778048,0.9930556,0.9750996,0.97577465,0.9930556
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0
